norm_song,norm_artist,albumCover,songNumber,KR_Song,KR_artist,ENG_Song,ENG_artist,score,Rank,bugs,melon,genie,vibe,flo,apple
천상연,이창섭,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/17/b8/d7/17b8d742-378f-9735-3e1b-d7c4ee0f1d80/X_LEE_CHANGSUB.jpg/600x600bb-60.jpg,1731682480,천상연,이창섭,Heavenly fate,LEE CHANGSUB,10599.7,11,25,6,8,19,13,44
예뻤어,데이식스,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/be/b6/6f/beb66f68-dd13-462b-13ab-1ff308248c53/Every_DAY6_February_cover.jpg/600x600bb-60.jpg,1202720718,예뻤어,데이식스,You Were Beautiful,DAY6,10496.3,12,19,10,7,16,24,21
easy,르세라핌,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/dc/10/0d/dc100d84-6e16-98d5-13a8-1c387dc4dc30/196922796531_Cover.jpg/600x600bb-60.jpg,1728928754,EASY,르세라핌,EASY,LE SSERAFIM,10414.9,13,21,13,13,10,11,19
비의랩소디,임재현,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/96/d4/64/96d46475-11b6-ffbb-37ba-817d3a81ed7c/888272126815.jpg/600x600bb-60.jpg,1718842571,비의 랩소디 (Instrumental),임재현,Rhapsody of Sadness (Instrumental),Jaehyun Lim,10082.2,14,30,14,12,9,16,45
tox,태연,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/c7/1b/47/c71b47c7-4ea1-4eb9-8825-cbe87f68b6fd/cover.jpg/600x600bb-60.jpg,1717568642,To. X,태연,To. X,TAEYEON,9925.3,15,26,16,14,12,25,27
hypeboy,뉴진스,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/600x600bb-60.jpg,1635469851,Hype Boy,뉴진스,Hype Boy,NewJeans,9878.1,16,10,18,19,25,19,15
smart,르세라핌,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/dc/10/0d/dc100d84-6e16-98d5-13a8-1c387dc4dc30/196922796531_Cover.jpg/600x600bb-60.jpg,1728928913,Smart,르세라핌,Smart,LE SSERAFIM,9801.4,17,17,15,20,24,30,17
그대만있다면,너드커넥션,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/41/0f/bd/410fbda4-aff9-9807-6014-f51bdd19fe3c/Digital_Cover_NCT_DREAM_Candy.jpg/600x600bb-60.jpg,1658222132,Candy,NCT DREAM,Candy,NCT DREAM,9306.4,18,44,17,21,14,37,31
iam,아이브,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/fe/2f/49/fe2f497c-2b68-b67d-2199-67a3b8169e36/cover_KM0017019_1.jpg/600x600bb-60.jpg,1680865730,I AM,아이브,I AM,IVE,9204.0,19,31,23,18,20,21,53
perfectnight,르세라핌,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/e6/df/10/e6df10ec-20e2-4fc8-51a1-cb923ce992c4/196922680779_Cover.jpg/600x600bb-60.jpg,1712731159,Perfect Night,르세라핌,Perfect Night,LE SSERAFIM,9107.5,20,39,21,22,17,34,34
에피소드,이무진,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/e5/7a/f2/e57af277-e8a3-cf4f-d29f-6afd6535e035/cover_KM0019108_1.jpg/600x600bb-60.jpg,1720325664,에피소드,이무진,Episode,Lee Mujin,8904.0,21,35,19,15,23,40,-
eta,뉴진스,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d3/4b/7e/d34b7e1e-af3b-43b6-2949-7a8c652a1bc9/196922462726_Cover.jpg/600x600bb-60.jpg,1695951900,ETA,뉴진스,ETA,NewJeans,8888.7,22,14,30,28,26,22,20
welcometotheshow,데이식스,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/42/fb/af/42fbaf16-efe2-4e1f-2e5e-bb42c2bdc281/DAY6_Fourever_Online_Cover.jpg/600x600bb-60.jpg,1731955737,Welcome to the Show,데이식스,Welcome to the Show,DAY6,8858.1,23,9,29,25,32,36,14
헤어지자말해요,박재정,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/80/3c/ef/803cef29-4056-b1d7-182a-73870ae469bb/cover_KM0017252_1.jpg/600x600bb-60.jpg,1683448046,헤어지자 말해요,박재정,Let’s Say Goodbye,Parc Jae Jung,8808.7,24,48,20,17,15,35,-
ditto,뉴진스,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/f6/29/42/f629426e-92fe-535c-cbe4-76e70850819b/196922287107_Cover.jpg/600x600bb-60.jpg,1657231962,Ditto,뉴진스,Ditto,NewJeans,8705.6,25,22,28,24,31,38,26
drama,aespa,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f7/f0/5c/f7f05ce4-e5a4-900d-e087-1dd9668b2b34/888735945939.jpg/600x600bb-60.jpg,1715939931,Drama,aespa,Drama,aespa,8640.4,26,40,24,29,22,42,29
supershy,뉴진스,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/63/e5/e2/63e5e2e4-829b-924d-a1dc-8058a1d69bd4/196922462702_Cover.jpg/600x600bb-60.jpg,1692686518,Super Shy,뉴진스,Super Shy,NewJeans,8445.8,27,28,27,35,34,33,30
love119,riize,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d3/b8/ba/d3b8ba3c-cca4-4335-6edd-dc5524148877/888735946431.png/600x600bb-60.jpg,1721331014,Love 119,RIIZE,Love 119,RIIZE,8431.1,28,34,22,39,21,52,37
홀씨,아이유,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/e3/56/1e/e3561eb5-de12-790d-569b-53fa22e6b491/cover_KM0019422_1.jpg/600x600bb-60.jpg,1726888402,Love wins all,아이유,Love wins all,IU,8321.0,29,29,26,23,27,43,-
인사,범진,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/04/6c/a3/046ca30f-94e8-bbae-def8-e087a323fa6d/8809856740601.jpg/600x600bb-60.jpg,1601565174,인사,범진,A Letter,BUMJIN,8163.9,30,55,25,31,18,56,42
maniac,비비지,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/6d/0d/7e/6d0d7e39-f510-217f-64f6-07643d7d08a8/cover_KM0018861_1.jpg/600x600bb-60.jpg,1714197624,MANIAC,비비지,MANIAC,VIVIZ,7336.8,31,37,33,45,29,61,57
lovelee,악뮤,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/7f/ca/13/7fca1315-9134-7937-b159-367bbed08dfa/AKMU_LoveLee_Cover_4000x4000.jpg/600x600bb-60.jpg,1702810042,Love Lee,악뮤,Love Lee,AKMU,7159.9,32,61,37,26,33,47,-
attention,뉴진스,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/600x600bb-60.jpg,1635469694,Attention,뉴진스,Attention,NewJeans,6906.7,33,13,55,38,41,41,16
omg,뉴진스,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/48/96/08/4896085e-b550-cb0a-3e5b-1f203521cb82/196922265464_Cover.jpg/600x600bb-60.jpg,1659513445,OMG,뉴진스,OMG,NewJeans,6792.5,34,18,42,47,55,66,32
너의모든순간,성시경,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/a7/c2/0d/a7c20d8c-01c7-416d-16db-609241314273/cover_KM0002565_1.jpg/600x600bb-60.jpg,819870640,너의 모든 순간,성시경,Every Moment of You,Sung Si Kyung,6743.7,35,64,34,41,43,54,-
퀸카,아이들,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/29/27/57/29275797-c35d-df22-1394-61189a2aae43/cover_KM0017301_1.jpg/600x600bb-60.jpg,1687024225,퀸카,(여자)아이들,Queencard,(G)I-DLE,6574.7,36,77,41,32,39,45,-
impossible,riize,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/75/66/a0/7566a0c0-59a2-4a3e-94d6-a17eca627519/888735947346.png/600x600bb-60.jpg,1739150377,Impossible,RIIZE,Impossible,RIIZE,6518.1,37,16,38,84,52,55,4
혹시세상에혼자남겨진것같다면,우디,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c2/67/f8/c267f873-f73f-f1ba-3fae-4aa28fc7608b/cover_KM0019685_1.jpg/600x600bb-60.jpg,1738859517,혹시 세상에 혼자 남겨진 것 같다면,우디,When you alone,Woody,6226.0,38,49,39,33,-,53,91
사랑은늘도망가,임영웅,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a3/95/ee/a395eea4-71b4-df6f-0d47-f305fd084563/191953142210.jpg/600x600bb-60.jpg,1589204991,사랑은 늘 도망가,임영웅,Love Always Run Away,Lim Young Woong,6014.7,39,93,35,62,79,10,-
사건의지평선,윤하,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/43/cd/c8/43cdc862-d91b-de64-9d21-e6f6a16fbf61/cover_KM0014976_1.jpg/600x600bb-60.jpg,1616649362,사건의 지평선,윤하,Event Horizon,Younha,5952.7,40,71,47,27,42,80,-
superlady,아이들,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/96/da/6d/96da6de4-8824-f449-7a7a-243aaa9f3a75/cover_KM0019415_1.jpg/600x600bb-60.jpg,1727258596,나는 아픈 건 딱 질색이니까,(여자)아이들,Fate,(G)I-DLE,5935.0,41,69,46,54,36,44,-
사랑인가봐,멜로망스,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/50/f0/fc/50f0fcea-7360-47c0-37d6-4440e97e2862/cover_KM0014772_1.jpg/600x600bb-60.jpg,1609910933,사랑인가 봐,멜로망스,"Love, Maybe",MeloMance,5869.4,42,62,32,30,-,-,-
사막에서꽃을피우듯,우디,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/b9/cc/4e/b9cc4ef9-50ab-7f27-b5c9-7770617df7c0/01..jpg/600x600bb-60.jpg,1696860541,사막에서 꽃을 피우듯 (Kor Version),우디,Flower in the Desert (Kor Version),Woody,5687.3,43,-,40,40,35,87,-
꿈,태연,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4c/02/38/4c023898-f560-fe49-3f12-f395b9e6ae27/191953323527.jpg/600x600bb-60.jpg,1721302254,꿈,태연,Dream,TAEYEON,5606.6,44,53,36,65,-,49,-
멈춰줘,헤이즈,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/52/f1/73/52f17367-d934-3f9f-311f-4da21c5aa5aa/191953340760.jpg/600x600bb-60.jpg,1735685780,멈춰줘,헤이즈,Hold Me Back,HEIZE,5509.2,45,33,68,42,40,39,87
주저하는연인들을위해,잔나비,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/fc/a9/b2/fca9b2d4-b1ed-92e8-2e5f-1838d77cbce7/cover-_NEW.jpg/600x600bb-60.jpg,1456103133,주저하는 연인들을 위해,잔나비,For Lovers Who Hesitate,JANNABI,5401.8,46,70,45,53,56,92,59
baddie,아이브,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/88/4e/1a/884e1a49-7ce1-7521-7216-cb9adc497090/cover_KM0018202_1.jpg/600x600bb-60.jpg,1711153996,Baddie,아이브,Baddie,IVE,5377.9,47,75,50,52,37,68,-
midastouch,kissoflife,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e1/6f/c2/e16fc273-6872-31a0-a667-3e8777da2636/8804775348402.jpg/600x600bb-60.jpg,1737365432,Nothing,KISS OF LIFE,Nothing,KISS OF LIFE,5373.6,48,11,52,-,45,63,8
sevencleanver,정국,https://cdnimg.melon.co.kr/cm2/album/images/112/86/070/11286070_20230713181059_500.jpg,m36617841,sevencleanver,정국,sevencleanver,정국,5343.5,49,57,31,-,48,71,-
siren,riize,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/17/ad/44/17ad442d-d625-bbd3-f5c2-03dccaab74b7/888735947322.png/600x600bb-60.jpg,1737804338,Siren,RIIZE,Siren,RIIZE,5340.9,50,27,43,99,74,67,9
좋아해요,폴킴,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/47/e9/0c/47e90ca4-0e4f-23ba-4671-2f72e83a90d1/191953344515.jpg/600x600bb-60.jpg,1739304346,좋아해요,폴킴,Can't Get Over You,Paul Kim,5233.1,51,43,58,55,60,50,95
getaguitar,riize,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/0f/9d/ea/0f9dea53-6309-57e8-f223-6d4407534cc4/888735944888.png/600x600bb-60.jpg,1702800318,Get A Guitar,RIIZE,Get A Guitar,RIIZE,5097.6,52,42,44,88,61,77,61
idontthinkthatilikeher,charlieputh,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/7e/5f/22/7e5f2239-6143-7cf4-dfe1-d9b53d47c4c0/075679736307.jpg/600x600bb-60.jpg,1633318780,I Don’t Think That I Like Her,Charlie Puth,I Don’t Think That I Like Her,Charlie Puth,4937.6,53,84,57,36,57,75,-
심,dk,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f5/21/91/f52191c0-4d0d-d5d7-cdb1-36e02df1dae5/cover_KM0016903_1.jpg/600x600bb-60.jpg,1672883585,심(心),DK(디셈버),Heart,DK(December),4933.6,54,97,62,34,54,48,-
youme,제니,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/81/ff/21/81ff218c-3773-8bd7-19be-2b9d0c373a7f/JENNIE_You_Me_0922.jpg/600x600bb-60.jpg,1709257170,You & Me,제니,You & Me,JENNIE,4907.2,55,60,56,43,46,-,-
wife,아이들,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/7d/4a/c8/7d4ac849-5bea-1356-4161-1dd55c460411/cover_KM0019415_1.jpg/600x600bb-60.jpg,1726486877,Wife,(여자)아이들,Wife,(G)I-DLE,4840.9,56,46,69,60,30,46,-
byyourside,크러쉬,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/85/c2/9e/85c29e86-85a6-913f-33ec-2c0833b74165/191953345628.jpg/600x600bb-60.jpg,1740884211,By Your Side,크러쉬,By Your Side,Crush,4836.3,57,24,51,71,-,86,43
lovedive,아이브,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/67/f8/16/67f8164a-bfc2-f29b-e241-800426a968ef/cover_KM0015013_1.jpg/600x600bb-60.jpg,1616804152,LOVE DIVE,아이브,LOVE DIVE,IVE,4587.6,58,65,61,59,65,62,82
어떻게이별까지사랑하겠어널사랑하는거지,악뮤,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/e4/a2/80/e4a28015-490b-255a-ff26-aadd6257cfa1/AKMU_DS.jpg/600x600bb-60.jpg,1480802550,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",악뮤,"How can I love the heartbreak, you're the one I love",AKMU,4540.2,59,89,49,72,44,94,77
후라이의꿈,악뮤,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/7f/ca/13/7fca1315-9134-7937-b159-367bbed08dfa/AKMU_LoveLee_Cover_4000x4000.jpg/600x600bb-60.jpg,1702810043,후라이의 꿈,악뮤,Fry’s Dream,AKMU,4437.6,60,73,64,37,53,96,-
그대가내안에박혔다,순순희,https://cdnimg.melon.co.kr/cm2/album/images/111/54/218/11154218_20230120135907_500.jpg,m36062335,그대가내안에박혔다,순순희,그대가내안에박혔다,순순희,4417.3,61,-,53,49,50,-,-
spicy,aespa,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/af/2c/6d/af2c6d62-0ebc-2dff-17b3-8eeb2b3986a0/888735943621.jpg/600x600bb-60.jpg,1685400184,Spicy,aespa,Spicy,aespa,4300.3,62,56,60,69,69,88,54
모든날모든순간,폴킴,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/fb/45/a5/fb45a5f3-e172-f3c7-05df-733d16c8fc31/OST3_A_Fin.jpg/600x600bb-60.jpg,1360245440,"모든 날, 모든 순간",폴킴,"Every Day, Every Moment",Paul Kim,4089.4,63,74,54,73,88,69,-
잘지내자우리,로이킴,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/5f/d8/fa/5fd8fa3a-9063-88fa-3735-a58a892239e3/cover_KM0017838_1.jpg/600x600bb-60.jpg,1696074375,"잘 지내자, 우리 (영화 '여름날 우리')",로이킴,Let's Stay Well (My love),Roy Kim,4024.7,64,90,48,61,-,-,89
취중고백,김민석,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/1c/fa/26/1cfa262a-1389-9099-4423-20b5d80cecfe/190296294983.jpg/600x600bb-60.jpg,1600651334,취중고백,김민석,DrunKen Confession,Kim Min Seok,3980.2,65,-,59,66,66,64,-
dangerously,charlieputh,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/68/24/6d/68246d01-179c-72e2-6caa-6490c86a4e79/075679920836.jpg/600x600bb-60.jpg,1041127299,Dangerously,Charlie Puth,Dangerously,Charlie Puth,3769.3,66,66,70,44,70,-,-
다정히내이름을부르면,경서예지,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/cd/49/ed/cd49ed05-4373-1e6c-18b2-6f95cca1494f/cover_KM0014213_1.jpg/600x600bb-60.jpg,1590789873,다정히 내 이름을 부르면 (여자 Version),경서예지,If you lovingly call my name (Female Version),GyeongseoYeji,3474.2,67,96,66,51,84,89,-
discord,qwer,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/57/1b/2b/571b2b61-77b0-03b4-fa64-fdfef50beaad/cover_KM0018677_1.jpg/600x600bb-60.jpg,1711740155,Discord,QWER,Discord,QWER,3413.3,68,41,95,48,47,70,71
kitsch,아이브,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/99/bb/3a/99bb3a49-4014-db32-5d11-3825a289d9ed/cover_KM0017019_1.jpg/600x600bb-60.jpg,1678057487,Kitsch,아이브,Kitsch,IVE,3294.9,69,68,79,57,71,73,-
반딧불,도영,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/88/42/27/8842274f-5d07-8fdb-92bb-e526f9a829f0/cover.jpg/600x600bb-60.jpg,1740224932,반딧불,도영,Little Light,DOYOUNG,2989.2,70,23,82,-,-,57,13
물론,허각,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/3a/7f/3d/3a7f3d84-6454-fd1d-80be-23720d5ffd68/191953280011.jpg/600x600bb-60.jpg,1684921446,물론,허각,With you,Huh Gak,2980.5,71,-,76,56,51,-,-
우리들의블루스,임영웅,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a3/95/ee/a395eea4-71b4-df6f-0d47-f305fd084563/191953142210.jpg/600x600bb-60.jpg,1589204991,사랑은 늘 도망가,임영웅,Love Always Run Away,Lim Young Woong,2966.2,72,-,67,-,-,14,-
afterlike,아이브,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/f0/5f/11/f05f1119-8992-ba35-1e97-20213a637870/cover_KM0015998_1.jpg/600x600bb-60.jpg,1640202552,After LIKE,아이브,After LIKE,IVE,2949.6,73,59,96,50,58,59,-
모래알갱이,임영웅,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a3/95/ee/a395eea4-71b4-df6f-0d47-f305fd084563/191953142210.jpg/600x600bb-60.jpg,1589204991,사랑은 늘 도망가,임영웅,Love Always Run Away,Lim Young Woong,2733.6,74,-,71,-,-,15,-
사랑하지않아서그랬어,임한별,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/80/a7/17/80a717ac-1788-9f1c-e73d-177786ffd95a/cover_KM0017163_1.jpg/600x600bb-60.jpg,1679481651,사랑하지 않아서 그랬어,임한별,Because I Don't Love You,Onestar,2685.4,75,-,63,75,-,-,-
shopper,아이유,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/3e/43/d2/3e43d2dc-acd4-5db6-9ae7-99299a044584/cover_KM0019422_1.jpg/600x600bb-60.jpg,1731352614,Shopper,아이유,Shopper,IU,2664.9,76,50,78,70,92,-,-
사랑할수밖에,볼빨간사춘기,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/d5/89/5d/d5895d26-d6ef-4908-83fb-26b71e8a90d8/191953322636.jpg/600x600bb-60.jpg,1720724479,사랑할 수밖에,볼빨간사춘기,Eternal love,BOL4,2379.5,77,-,73,-,28,-,-
luckygirlsyndrome,아일릿,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3e/49/1e/3e491e43-4961-21ab-2abe-37fb1c0feb40/196922879227_Cover.jpg/600x600bb-60.jpg,1734501146,Lucky Girl Syndrome,아일릿,Lucky Girl Syndrome,ILLIT,2285.6,78,32,92,-,100,65,6
stealtheshow,lauv,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ea/93/b7/ea93b73e-a3d3-59d4-1edf-4c9678e78337/23UMGIM65662.rgb.jpg/600x600bb-60.jpg,1692393090,Steal The Show,Lauv,Steal The Show,Lauv,2048.5,79,52,74,-,-,-,-
봄날,방탄소년단,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ce/fb/eb/cefbebd4-d53b-8d6c-33cf-2ee55408bd79/8804775077494_Cover.jpg/600x600bb-60.jpg,1596529381,봄날,방탄소년단,Spring Day,BTS,1980.0,80,-,65,-,-,-,-
해요,안녕,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/85/f6/e1/85f6e19f-0087-51da-b0d9-5769bac13d11/1._2022_cover.jpg/600x600bb-60.jpg,1627665647,해요 (2022),#안녕,Haeyo (2022),An Nyeong,1910.9,81,-,75,80,-,-,-
다시만날수있을까,임영웅,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d4/da/74/d4da74d7-1c79-e22f-027e-0bd9ed2220f2/8809856807540.jpg/600x600bb-60.jpg,1698694047,다시 만날 수 있을까,임영웅,If We Ever Meet Again,Lim Young Woong,1845.6,82,-,86,-,-,20,-
이제나만믿어요,임영웅,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/5f/4b/a9/5f4ba97c-1449-9392-988f-9b1acf24c1fb/cover_-_DS.jpg/600x600bb-60.jpg,1506119624,이제 나만 믿어요,임영웅,Trust in Me,Lim Young Woong,1828.4,83,-,87,-,-,17,-
손오공,세븐틴,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/e3/76/df/e376df28-c05b-00fd-72de-9d42377a306b/196922628580_Cover.jpg/600x600bb-60.jpg,1711288969,음악의 신,세븐틴,God of Music,SEVENTEEN,1822.7,84,99,80,91,78,97,83
사랑그게뭔데,지아,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/7f/d3/f1/7fd3f1e3-ff4d-e30f-d5c9-007e315d8c4a/191669000088.jpg/600x600bb-60.jpg,1262332747,사랑..그게 뭔데,yangpa,사랑..그게 뭔데,yangpa,1801.3,85,-,72,94,97,-,-
doordie,임영웅,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/cb/b6/43/cbb643ee-b162-acbf-8ca7-2491c6835be7/cover_KM0018409_1.jpg/600x600bb-60.jpg,1710695188,Do or Die,임영웅,Do or Die,Lim Young Woong,1705.8,86,-,89,-,-,18,-
자꾸만웃게돼,부석순,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/6b/4d/a8/6b4da8c3-42c5-f80b-ccf3-1d48c01e1ca6/191953339016.jpg/600x600bb-60.jpg,1734562778,자꾸만 웃게 돼,부석순,The Reasons of My Smiles,BSS,1695.1,87,51,100,82,-,51,-
파이팅해야지,부석순,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/df/ec/37/dfec37b0-9c39-dfce-fefe-61cfd05e1680/196922266546_Cover.jpg/600x600bb-60.jpg,1668145595,파이팅 해야지 (feat. 이영지),부석순,Fighting (feat. Lee Young Ji),BSS,1675.3,88,-,77,89,94,-,-
건물사이에피어난장미,hkey1,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/64/c3/de/64c3de97-2049-06e5-9411-e0723a1d25b1/196589704559.jpg/600x600bb-60.jpg,1661207542,건물 사이에 피어난 장미,하이키,Rose Blossom,H1-KEY,1552.0,89,82,-,63,64,98,-
seven,정국,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/a5/a6/56/a5a6561a-f570-2fb1-5a3a-95b150c18f18/196922550928_Cover.jpg/600x600bb-60.jpg,1697147752,Seven,정국 & Latto,Seven,Jung Kook & Latto,1545.1,90,-,-,46,-,-,50
무지개,임영웅,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d4/da/74/d4da74d7-1c79-e22f-027e-0bd9ed2220f2/8809856807540.jpg/600x600bb-60.jpg,1698694048,무지개,임영웅,Rainbow,Lim Young Woong,1532.8,91,-,91,-,-,23,-
